name,latitude,longitude,rating,number of reviews,affluence
Jom Jom Restora and party center,23.7074041,90.4994672,4.2,115,
Food Fair,23.7089343,90.4964317,0.0,0,
KHAJA WATER LTD,23.705367,90.473093,5.0,29,
FOOD CLUB,23.7119329,90.49035239999999,5.0,1,
Noor Biriyani House,23.720294,90.4902015,3.0,1,
Boithokkhana,23.7111343,90.487336,3.5,44,
Journey By Boat Cafe,23.7118629,90.4879088,4.1,71,
Somunita Restaurant,23.7093374,90.4765772,4.0,11,
Elma Restaurant,23.7107731,90.47011909999999,3.5,2,
Mama Chotpoti & Fusca,23.7113482,90.488044,3.8,197,
Zahir's Kitchen,23.7111774,90.48975039999999,4.5,2,
আমিন ফুড এন্ড জুস কর্নার,23.7105872,90.48659529999999,5.0,1,
ঢাকা বিরিয়ানি ২,23.7091831,90.4970552,0.0,0,
আল্লাহর দান বিরিয়ানির হাউজ,23.7109586,90.4877731,3.7,3,
Royal View Chinese restaurant & party center,23.7190045,90.4908665,3.8,25,
Tension Hotel,23.7274877,90.4978873,4.5,43,
Green Olive Restaurant and Party Center,23.7209017,90.49035169999999,3.9,65,
রাজ মহল বিরিয়ানী ফাস্টফুড সুইটস,23.7162265,90.4688568,5.0,1,
মুক্তার বাবুর্চি স্পেশাল ভুনা খিচুড়ি অ্যান্ড মুরগ পোলাও,23.7114592,90.4917088,4.0,4,
Nababi Shad,23.7170372,90.4915688,4.2,5,
Nirzhor Cafe and Convention Hall,23.7167824,90.4915936,4.1,62,
Food Corner,23.7107437,90.4872034,0.0,0,
Alam's Restaurant,23.7205144,90.4900114,3.9,1208,$$
Hungry Man,23.7110391,90.4698255,4.1,37,
Food Lover Demra Dhaka,23.7094226,90.4970565,5.0,1,
Home house,23.7171638,90.48740529999999,0.0,0,
Cheap&Best Fast Food and Biriani House,23.714212,90.49204689999999,5.0,1,
Kamal Hotel,23.7066425,90.48141799999999,4.0,1,
Ma Khabar Ghar,23.7097271,90.4783387,3.5,2,
Blues,23.7119468,90.4696582,4.4,33,
Sultan Food Land,23.7165488,90.49170090000001,4.2,261,$$
T F C,23.7206742,90.4903803,4.4,17,
Altaf Hotel and Restaurant,23.7169438,90.4900576,0.0,0,
Holdi Chinese Restaurant,23.7201229,90.4900163,3.8,11,
Haji Abul Kalam Restaurant and Sweetmeat,23.7200659,90.4905915,3.8,19,
Raj Biriyani House,23.7199267,90.49059460000001,4.5,2,
Bismillah Hotel Sweets & Restaurant,23.7093776,90.4764112,3.8,57,
Haldi Chinese Restaurant & Party Center,23.7199353,90.489978,3.9,169,
Kazi Farms Kitchen,23.705731,90.4716919,4.4,17,
SN FOOD CLUB,23.7187395,90.4911595,4.0,1,
আল্লাহ দান বিরিয়ানী হাউজ,23.7203882,90.49072360000001,5,1,
Green Palace Restaurant,23.72623,90.4609078,3.3,4,
Allahr Dan Sweetmeat & Restaurant,23.7108969,90.48729519999999,0,0,
Dream's kitchen,23.721407,90.4958821,0,0,
শাহ পরান ফাস্ট ফুড,23.7073316,90.4975195,0,0,
আল্লাহ্ ভরশা খানা যর,23.7073132,90.4981308,4,2,
ভাই - ভাই হোটেল,23.7148924,90.4847288,0,0,
BLUE SKY Coffee & Burger,23.7015492,90.4794309,4.1,162,$
Burger Bhai,23.7273525,90.4984162,4,8,
Diners Club,23.7150031,90.4689896,3.8,316,$$
গ্র্যান্ড নূর কাচ্চি,23.7203029,90.4901757,4,1,
Haji Sweets and Hotel,23.7150188,90.4960144,3.8,161,$
এবা,23.71934,90.5089512,0,0,
সুলতান রুফটপ,23.716537,90.49172019999999,4.6,5,
Food Land Cafe Demra,23.7052504,90.4718279,4.2,37,
